position,Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify_track_id,spotify_uri,spotify_album,spotify_year,curated_year,status,notes
69,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,Let's Talk About Love,HITSTER - DIY,Playlist,CAC229700120,33LC84JgLvK2KuW43MfaNq,33LC84JgLvK2KuW43MfaNq,spotify:track:33LC84JgLvK2KuW43MfaNq,Let's Talk About Love,,1997,pending,
70,Volando Voy,Kiko Veneno,Echate Un Cantecito,HITSTER - DIY,Playlist,ES5029400474,1Hud0EePGdcqcHIIDksq3R,1Hud0EePGdcqcHIIDksq3R,spotify:track:1Hud0EePGdcqcHIIDksq3R,Echate Un Cantecito,,1979,pending,
71,Danza Kuduro,Don Omar,Fast Five (Original Motion Picture Soundtrack),HITSTER - DIY,Playlist,USUM71020778,4sCSUQnWQ6HJsOMjfPicdn,4sCSUQnWQ6HJsOMjfPicdn,spotify:track:4sCSUQnWQ6HJsOMjfPicdn,Fast Five (Original Motion Picture Soundtrack),,2010,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
72,Firework,Katy Perry,Teenage Dream,HITSTER - DIY,Playlist,USCA21001262,1mXuMM6zjPgjL4asbBsgnt,1mXuMM6zjPgjL4asbBsgnt,spotify:track:1mXuMM6zjPgjL4asbBsgnt,Teenage Dream,,2010,pending,
73,Knock On Wood,Amii Stewart,Greatest Hits,HITSTER - DIY,Playlist,USA561379853,6120uJUyg6QDzaAJUosTx5,6120uJUyg6QDzaAJUosTx5,spotify:track:6120uJUyg6QDzaAJUosTx5,Greatest Hits,,1979,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
74,Chacachá del tren (remastered),Hermanas Fleta,Hermanas Fleta Vol.1 (1952-1955),HITSTER - DIY,Playlist,ES6150500081,1FjyT8FTmnvelt4dNwp2Jx,1FjyT8FTmnvelt4dNwp2Jx,spotify:track:1FjyT8FTmnvelt4dNwp2Jx,Hermanas Fleta Vol.1 (1952-1955),,1951,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
75,Don't Go,Yazoo,Upstairs at Eric's,HITSTER - DIY,Playlist,GBAJH9600227,5JOVSWohrjXW0BFTboh8XO,5JOVSWohrjXW0BFTboh8XO,spotify:track:5JOVSWohrjXW0BFTboh8XO,Upstairs at Eric's,,1982,pending,
76,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,"The Gramophone Classics, Vol. 1",HITSTER - DIY,Playlist,ITA731100419,7idTMG6EKZy0531lIx8RJ5,7idTMG6EKZy0531lIx8RJ5,spotify:track:7idTMG6EKZy0531lIx8RJ5,"The Gramophone Classics, Vol. 1",,1902,pending,
77,Despacito,Luis Fonsi,VIDA,HITSTER - DIY,Playlist,USUM71607007,6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,VIDA,,2017,pending,
78,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),HITSTER - DIY,Playlist,USGF19942501,4CeeEOM32jQcH3eN9Q2dGj,4CeeEOM32jQcH3eN9Q2dGj,spotify:track:4CeeEOM32jQcH3eN9Q2dGj,Nevermind (Remastered),,1991,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
79,Me Gustas Mucho,Rocío Dúrcal,Mis Mejores Canciones,HITSTER - DIY,Playlist,MXF019100120,2i7SlECYIAsT72FpLUU1Uj,2i7SlECYIAsT72FpLUU1Uj,spotify:track:2i7SlECYIAsT72FpLUU1Uj,Mis Mejores Canciones,,1978,pending,
80,Hay que venir al sur,Raffaela Carrá,Las 101 mejores canciones Italianas,HITSTER - DIY,Playlist,ITM000102377,1kXTqAV4IshAbOQpWl9PkE,1kXTqAV4IshAbOQpWl9PkE,spotify:track:1kXTqAV4IshAbOQpWl9PkE,Las 101 mejores canciones Italianas,,1978,pending,
81,Lola,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",HITSTER - DIY,Playlist,GBAJE0701939,0UAJH0k4k3slcE83a9UGCe,0UAJH0k4k3slcE83a9UGCe,spotify:track:0UAJH0k4k3slcE83a9UGCe,"Lola Versus Powerman and the Moneygoround, Pt. One",,1970,pending,
82,"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),HITSTER - DIY,Playlist,QM6N21759345,6z5Xrx58p5Bs18RIe6KXbI,6z5Xrx58p5Bs18RIe6KXbI,spotify:track:6z5Xrx58p5Bs18RIe6KXbI,Barrio Fino (Bonus Track Version),,2004,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
83,In the Mood - 2006 Remastered Version,Glenn Miller,In the Mood,HITSTER - DIY,Playlist,FR14F3900390,0wAyDBh0ujohCsYeXBtDLF,0wAyDBh0ujohCsYeXBtDLF,spotify:track:0wAyDBh0ujohCsYeXBtDLF,In the Mood,,1939,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
84,Amante Bandido,Miguel Bosé,Bandido,HITSTER - DIY,Playlist,NLB638490150,1hj6nYHeGclSY0VNTHMi27,1hj6nYHeGclSY0VNTHMi27,spotify:track:1hj6nYHeGclSY0VNTHMi27,Bandido,,1984,pending,
85,Closer,The Chainsmokers,Closer,HITSTER - DIY,Playlist,USQX91601347,7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,,2016,pending,
86,World Hold on (Children of the Sky) [Radio Edit],Bob Sinclar,World Hold on (Children of the Sky) [Radio Edit],HITSTER - DIY,Playlist,FR4E41811690,1c0zagykmGPDYuxJeDqZhJ,1c0zagykmGPDYuxJeDqZhJ,spotify:track:1c0zagykmGPDYuxJeDqZhJ,World Hold on (Children of the Sky) [Radio Edit],,2006,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
87,"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",Reel 2 Real,Move It!,HITSTER - DIY,Playlist,QMRSZ1800990,6dHTkQYY3zdR9i9Nj0IGVW,6dHTkQYY3zdR9i9Nj0IGVW,spotify:track:6dHTkQYY3zdR9i9Nj0IGVW,Move It!,,1993,pending,
88,Tu Enemigo,Pablo López,El Mundo Y Los Amantes Inocentes,HITSTER - DIY,Playlist,ES5701500970,5tsDJt6Riyi26vowpb6FLs,5tsDJt6Riyi26vowpb6FLs,spotify:track:5tsDJt6Riyi26vowpb6FLs,El Mundo Y Los Amantes Inocentes,,2015,pending,
89,Friday I'm In Love,The Cure,Wish,HITSTER - DIY,Playlist,GBALB9200002,4QlzkaRHtU8gAdwqjWmO8n,4QlzkaRHtU8gAdwqjWmO8n,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,Wish,,1992,pending,
90,Tengo una Debilidad,Antonio Machín,Angelitos Negros,HITSTER - DIY,Playlist,FR6V81371799,7egg6pLQbewWGalcr241Rz,7egg6pLQbewWGalcr241Rz,spotify:track:7egg6pLQbewWGalcr241Rz,Angelitos Negros,,1963,pending,
